length,hydrophobic_ratio,polar_ratio,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,acr_type
410,0.4682926829268293,0.22926829268292684,0.08048780487804878,0.0024390243902439024,0.03902439024390244,0.041463414634146344,0.046341463414634146,0.07560975609756097,0.007317073170731708,0.1024390243902439,0.05853658536585366,0.1024390243902439,0.03170731707317073,0.03902439024390244,0.03414634146341464,0.03170731707317073,0.04390243902439024,0.07317073170731707,0.05365853658536585,0.1024390243902439,0.0024390243902439024,0.03170731707317073,unknown
1010,0.4504950495049505,0.2306930693069307,0.07722772277227723,0.0019801980198019802,0.04257425742574258,0.048514851485148516,0.048514851485148516,0.08118811881188119,0.005940594059405941,0.0900990099009901,0.054455445544554455,0.11188118811881188,0.03564356435643564,0.04257425742574258,0.046534653465346534,0.03762376237623762,0.03762376237623762,0.054455445544554455,0.06435643564356436,0.0801980198019802,0.006930693069306931,0.031683168316831684,unknown
78,0.34615384615384615,0.28205128205128205,0.0641025641025641,0.0,0.02564102564102564,0.08974358974358974,0.038461538461538464,0.08974358974358974,0.01282051282051282,0.0641025641025641,0.0641025641025641,0.0641025641025641,0.038461538461538464,0.10256410256410256,0.02564102564102564,0.01282051282051282,0.0641025641025641,0.08974358974358974,0.02564102564102564,0.0641025641025641,0.01282051282051282,0.05128205128205128,unknown
1135,0.479295154185022,0.18590308370044054,0.11629955947136564,0.000881057268722467,0.06255506607929516,0.05462555066079295,0.044933920704845816,0.08193832599118943,0.009691629955947136,0.06431718061674009,0.014977973568281937,0.11277533039647578,0.02555066079295154,0.02290748898678414,0.04140969162995595,0.029955947136563875,0.06872246696035242,0.06607929515418502,0.050220264317180616,0.10308370044052863,0.012334801762114538,0.016740088105726872,unknown
208,0.4230769230769231,0.30288461538461536,0.10096153846153846,0.004807692307692308,0.0625,0.04326923076923077,0.04326923076923077,0.04807692307692308,0.004807692307692308,0.052884615384615384,0.028846153846153848,0.08173076923076923,0.014423076923076924,0.02403846153846154,0.04326923076923077,0.07211538461538461,0.038461538461538464,0.11538461538461539,0.0625,0.11538461538461539,0.014423076923076924,0.028846153846153848,unknown
130,0.5307692307692308,0.16153846153846155,0.1076923076923077,0.0,0.023076923076923078,0.038461538461538464,0.06153846153846154,0.1076923076923077,0.015384615384615385,0.06153846153846154,0.03076923076923077,0.14615384615384616,0.05384615384615385,0.038461538461538464,0.023076923076923078,0.015384615384615385,0.06923076923076923,0.046153846153846156,0.05384615384615385,0.1,0.0,0.007692307692307693,unknown
78,0.34615384615384615,0.28205128205128205,0.0641025641025641,0.0,0.02564102564102564,0.08974358974358974,0.038461538461538464,0.08974358974358974,0.01282051282051282,0.0641025641025641,0.0641025641025641,0.0641025641025641,0.038461538461538464,0.10256410256410256,0.02564102564102564,0.01282051282051282,0.0641025641025641,0.08974358974358974,0.02564102564102564,0.0641025641025641,0.01282051282051282,0.05128205128205128,unknown
271,0.4833948339483395,0.21033210332103322,0.1033210332103321,0.0036900369003690036,0.02214022140221402,0.05166051660516605,0.04797047970479705,0.09225092250922509,0.007380073800738007,0.05166051660516605,0.02214022140221402,0.12915129151291513,0.055350553505535055,0.04428044280442804,0.04428044280442804,0.02214022140221402,0.06273062730627306,0.07380073800738007,0.03690036900369004,0.08487084870848709,0.01107011070110701,0.033210332103321034,unknown
103,0.5048543689320388,0.17475728155339806,0.11650485436893204,0.009708737864077669,0.019417475728155338,0.05825242718446602,0.02912621359223301,0.1262135922330097,0.0,0.06796116504854369,0.02912621359223301,0.1553398058252427,0.05825242718446602,0.038834951456310676,0.019417475728155338,0.019417475728155338,0.05825242718446602,0.05825242718446602,0.04854368932038835,0.07766990291262135,0.0,0.009708737864077669,unknown
76,0.5131578947368421,0.19736842105263158,0.10526315789473684,0.0,0.0,0.05263157894736842,0.039473684210526314,0.13157894736842105,0.0,0.06578947368421052,0.013157894736842105,0.15789473684210525,0.07894736842105263,0.013157894736842105,0.02631578947368421,0.02631578947368421,0.06578947368421052,0.07894736842105263,0.06578947368421052,0.06578947368421052,0.0,0.013157894736842105,unknown
50,0.44,0.16,0.08,0.0,0.0,0.08,0.02,0.12,0.02,0.08,0.02,0.14,0.08,0.0,0.04,0.02,0.12,0.08,0.06,0.04,0.0,0.0,unknown
282,0.49645390070921985,0.1950354609929078,0.10283687943262411,0.0070921985815602835,0.031914893617021274,0.0425531914893617,0.05319148936170213,0.09929078014184398,0.0035460992907801418,0.05319148936170213,0.03900709219858156,0.1099290780141844,0.05319148936170213,0.03546099290780142,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.0673758865248227,0.03900709219858156,0.11347517730496454,0.010638297872340425,0.031914893617021274,unknown
195,0.517948717948718,0.2,0.10256410256410256,0.005128205128205128,0.020512820512820513,0.041025641025641026,0.05128205128205128,0.09743589743589744,0.010256410256410256,0.06153846153846154,0.020512820512820513,0.14871794871794872,0.046153846153846156,0.041025641025641026,0.035897435897435895,0.02564102564102564,0.05128205128205128,0.06666666666666667,0.041025641025641026,0.09743589743589744,0.010256410256410256,0.02564102564102564,unknown
95,0.5052631578947369,0.2,0.10526315789473684,0.0,0.021052631578947368,0.05263157894736842,0.031578947368421054,0.08421052631578947,0.0,0.06315789473684211,0.031578947368421054,0.16842105263157894,0.042105263157894736,0.042105263157894736,0.021052631578947368,0.021052631578947368,0.08421052631578947,0.07368421052631578,0.042105263157894736,0.08421052631578947,0.010526315789473684,0.021052631578947368,unknown
55,0.3090909090909091,0.2909090909090909,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.05454545454545454,0.05454545454545454,0.12727272727272726,0.01818181818181818,0.01818181818181818,0.03636363636363636,0.09090909090909091,0.01818181818181818,0.07272727272727272,0.03636363636363636,0.07272727272727272,0.05454545454545454,0.10909090909090909,0.0,0.03636363636363636,0.01818181818181818,0.03636363636363636,unknown
413,0.4576271186440678,0.20823244552058112,0.09927360774818401,0.002421307506053269,0.04116222760290557,0.05569007263922518,0.05084745762711865,0.09443099273607748,0.009685230024213076,0.05084745762711865,0.026634382566585957,0.12106537530266344,0.04116222760290557,0.04600484261501211,0.043583535108958835,0.031476997578692496,0.06053268765133172,0.06537530266343826,0.0387409200968523,0.0847457627118644,0.009685230024213076,0.026634382566585957,unknown
285,0.47017543859649125,0.21754385964912282,0.09473684210526316,0.0035087719298245615,0.028070175438596492,0.0456140350877193,0.04912280701754386,0.10175438596491228,0.007017543859649123,0.05263157894736842,0.021052631578947368,0.12280701754385964,0.05263157894736842,0.0456140350877193,0.042105263157894736,0.02456140350877193,0.06315789473684211,0.07368421052631578,0.03508771929824561,0.08771929824561403,0.010526315789473684,0.03859649122807018,unknown
1225,0.4530612244897959,0.2146938775510204,0.08734693877551021,0.0016326530612244899,0.04653061224489796,0.05877551020408163,0.04,0.07428571428571429,0.011428571428571429,0.06285714285714286,0.0236734693877551,0.12408163265306123,0.02122448979591837,0.027755102040816326,0.05877551020408163,0.04897959183673469,0.05714285714285714,0.06285714285714286,0.0563265306122449,0.10693877551020409,0.010612244897959184,0.018775510204081632,unknown
